Frequency;Callsign;Locator;ERP [W];Antenna;QTF;Status;Comment
144,150;UR0UBA;KO50FK;5.0;Crossed Dipole;;O;Update by PA4EME - 2025-08-19
144,291;K1HC;FN23AT;10;16 x 5;60;O;Info by PA4EME - 2025-08-19
144,375;EK0VHF;LN20GE;5;dipole;320;O;Info by EK6RSC - 2021-06-16 - working normal last report fron Romenia YO4GJH .15.06.2021 12:28PM UTC
144,401;SV2HQL;KM09UV;10.0;Yagi;315;P;
144,402;OY6BEC;IP62MB;100;2el. HB9CV;SE;O;
144,403;YM4VHF;KM66AO;400;2 times 4x3ele Yagi;184 / 344;P;
144,403;ED1ZAG;IN53RE;25;big wheel;;O;Info by SO3Z - 2021-06-16 - heard during ES 599+
144,404;DB0THE;JO51EL;;4 x 2 Element;;O;
144,404;IW1AU;JN35PA;5;Big wheel;;O;
144,405;F5ZRB;IN87KW;40;Yagi 7 elts;135;O;
144,406;SK6VHF;JO57TX;10;M2 loop;Omni;O;
144,407;GB3SSS;IO70IA;200;8 OVER 8 SLOT YAGI;300;U;
144,409;F5ZSF;IN88GS;5;9 elts;60;O;
144,410;DB0MFI;JN58HW;2.0;Big Wheel;OMNI;;Update by 1 - 2022-10-27
144,410;IK1FJI;JN44MJ;6;eggbeater;;O;Update by DF2ZC - 2022-12-07
144,410;SR2VMA;JO94MA;4;crossdipol;;O;Info by SO3Z - 2021-09-27
144,410;RB4NB;LO49HO;50;9el yagi;0;O;Info by SO3Z - 2025-11-16
144,411;YU0ZVA;JN95WD;5;HALO LOOP;Omni;O;Update by YT2CQ - 2025-05-27
144,412;SK4MPI;JP70PI;90;2 x 4 el Sirio each QTF;50 + 310;O;
144,415;DB0JW;JO30EK;10.0;2 x Big Wheel;;O;
144,415;SR5TDM;KO01KX;5;;;O;
144,415;IQ2MI;JN35WW;1;Dipole Kathrein;110;O;
144,416;PI7CIS;JO22DC;50;dipole;90/270;X;Update by DM8MM - 2024-08-05
144,417;OH9VHF;KP36OI;160;7 dBd;200;O;
144,417;F5ZXT;JN33HI;5;HALO;OMNI;T;Update by F1NSR - 2025-07-03
144,418;ON0UCL;JO20HP;25.0;;;O;Update by PD1AHM - 2023-12-16
144,419;IQ2CY;JN55AD;10;Big wheel;;O;
144,420;RB1CA;KP51BA;5.0;3 Quad Style Yagi 3 ele;135;O;
144,421;SK3VHF;JP73HC;500;2 X 3el Quad;180;O;
144,422;OM0MVB;JN99EH;5;Horizontal Loop;;O;Update by OM3BY - 2025-12-29
